,To 0,To 1,To 2,To 3,To 4,To 5,To 6,To 7,To 8,To 9
From 0,0.0003595997540395663,0.0003848105623660385,0.0003595622477690055,0.0003604788334434836,0.0003613314129680548,0.00037015497998423464,0.00037749380756902566,0.00035971266099776346,0.0003643212526032094,0.0003661836195564597
From 1,0.00035992919421586837,0.00035467244776383387,0.00035714891643179927,0.00036101278505827253,0.0003579836275773235,0.000358815404794963,0.0003650208644895799,0.00037135190202878274,0.0003603269197170595,0.0003547280790244296
From 2,0.00036842317680484463,0.00035640087825635554,0.0003710203115235211,0.00035598595669056473,0.0003551321209601636,0.000368391743022434,0.0003634729512957825,0.0003598827867504875,0.0003606633827443568,0.0003586438985971304
From 3,0.00037827198199940205,0.00039446343703165144,0.0003673900356491926,0.00035975849089195686,0.00035966044885731734,0.00036729580957558605,0.00036365947947627445,0.0003818719784294059,0.0003590179939843846,0.000363099638283727
From 4,0.00036149632121491,0.0003650921157556472,0.0003620394322370401,0.0003605914502008724,0.0003745130040053971,0.0003854664345121329,0.0003641539502779197,0.00036464959789670235,0.00035818832219786475,0.00036441791824430055
From 5,0.0003602508342627323,0.00036057273887377784,0.0003628940762018285,0.0003664248939310076,0.0003595495170037821,0.00036510812933079233,0.0003652850786844889,0.00036166192499936437,0.0003643058005423183,0.0003646338479242147
From 6,0.0003618378834738969,0.00036555412339001167,0.0003628719474467056,0.0003716608132557786,0.0003574978450179603,0.00035909188339133667,0.0003652541519521357,0.0003657641890414016,0.0003596875824492955,0.0003685707215296775
From 7,0.0003666328205708875,0.0003643740908069844,0.00036150135724400453,0.00038005628129748214,0.00036260531735174433,0.0003619083499873906,0.0003636849537675525,0.0003631226466252254,0.0003571388592676055,0.00035742705912252687
From 8,0.00037662540514444567,0.0003576955260780357,0.0003685717258996792,0.00036437692400936124,0.00036119582454643734,0.00035788184427386544,0.00035981654958604914,0.00036174547791135926,0.0003594989755901788,0.0003671240034272803
From 9,0.0003614839758974229,0.0003561018456865293,0.00036991119384765625,0.00036743400912535816,0.0003567570177935557,0.00036917330409590366,0.0003583229194253178,0.0003616689330750101,0.0003585278487005154,0.00037412664647138257
