to_label,transition_time,label,experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate
To 0,0.0003618447712028,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003579594966133,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003656693847933,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003688935743781,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003556580095597,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003785802402912,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003629733277676,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003564193939305,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003692501542196,0,105,784_256_128_64_10,2,64,3,0.01
To 0,0.0003603542406941,0,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003613675331103,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003614658755915,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003648212503117,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.000358913859669,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.000364399099207,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003645057854158,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003708309132205,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.000359084669628,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003741405026473,1,105,784_256_128_64_10,2,64,3,0.01
To 1,0.0003592070062362,1,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003579668931558,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003632856864849,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003691257745322,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003591854678202,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.000358658835442,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003652855202003,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003617063056429,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003600752542889,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003621597770507,2,105,784_256_128_64_10,2,64,3,0.01
To 2,0.0003601984733323,2,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003614563833583,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003609174472731,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003586323623484,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003573260792864,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.000363845678141,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003670658611253,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003657232401734,3,105,784_256_128_64_10,2,64,3,0.01
To 3,0.0003623400139905,3,105,784_256_128_64_10,2,64,3,0.01
