experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate,mean_transition_time,std_transition_time,min_transition_time,max_transition_time,total_transitions,unique_labels,label_0_mean,label_0_std,label_0_count,label_1_mean,label_1_std,label_1_count,label_2_mean,label_2_std,label_2_count,label_3_mean,label_3_std,label_3_count,label_4_mean,label_4_std,label_4_count,label_5_mean,label_5_std,label_5_count,label_6_mean,label_6_std,label_6_count,label_7_mean,label_7_std,label_7_count,label_8_mean,label_8_std,label_8_count,label_9_mean,label_9_std,label_9_count
0,784_128_32_10,1,16,3,0.01,0.000138418676434405,6.190853069736684e-06,0.0001327210833669,0.0001731445638273,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
1,784_128_32_10,2,16,3,0.01,0.00011577981916457702,2.4604583286988746e-06,0.0001133146391918,0.0001297797750218,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
2,784_128_32_10,1,16,3,0.01,0.00012789985081100398,2.381911068408901e-06,0.0001253284339522,0.0001357821895651,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
3,784_128_32_10,1,16,3,0.001,0.000137405677990086,3.5565063019546837e-06,0.000133600618674,0.0001503861547814,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
4,784_128_32_10,2,16,3,0.001,0.00013725995263969001,4.157178928884162e-06,0.0001319860840338,0.0001601297856777,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
5,784_128_32_10,1,16,3,0.001,0.000148907908474027,5.285927103730718e-06,0.0001436341596355,0.0001700027882875,100,10,0.0001,0.0,10.0,0.0002,0.0,10.0,0.0001,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
6,784_128_32_10,1,16,5,0.01,0.00014058434013621598,2.327371378569838e-06,0.0001381128889973,0.0001510943834815,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
7,784_128_32_10,2,16,5,0.01,0.000132803267434605,3.2676133460538647e-06,0.0001291464359209,0.0001445131284445,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
8,784_128_32_10,1,16,5,0.01,0.00014225121517164299,2.3049888990859802e-06,0.0001393097366908,0.0001511087327165,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
9,784_128_32_10,1,16,5,0.001,0.000140308181463325,2.2981770566903463e-06,0.0001372678412331,0.0001498788852856,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
