,To 0,To 1,To 2,To 3,To 4,To 5,To 6,To 7,To 8,To 9
From 0,0.0001284789087684613,0.00012809685444241088,0.00012785436174214028,0.0001282898440942063,0.00012865153404804962,0.00012859266033852254,0.00012822321952210314,0.000128095408991434,0.00012832697158597823,0.00012855792475729874
From 1,0.00012863317649521513,0.00012830807981523913,0.00012802608838205924,0.00013124662164822805,0.0001286550969622836,0.00012803441991421585,0.0001283281608625968,0.00012793806961510466,0.0001310523870399936,0.00013141932042715605
From 2,0.0001276716610595026,0.00013223289578331225,0.00012855040514384372,0.00013053847322082014,0.00012806330349846804,0.00012824084893269596,0.00012800033352260867,0.00012887991451571046,0.00012916372113343604,0.00013331130107030792
From 3,0.00012857032687750585,0.0001312115439344346,0.0001296909555556282,0.00012947114229646805,0.00012911938572628828,0.00012873893898353523,0.00012825743982264044,0.00012891658794917282,0.00012802721486634025,0.00013013089633608278
From 4,0.00012822287752350253,0.0001294275640694286,0.00012970327884516912,0.00012855593152220462,0.000128564947719286,0.00012850913958393364,0.00012892030393430758,0.000129990461396008,0.00012874697745705202,0.00012864881591476983
From 5,0.0001286612756755787,0.0001277944144127183,0.00012829489767259353,0.0001277045857186006,0.00012828476240544793,0.00012793690385278232,0.00012882962817271882,0.0001288165364946638,0.0001288908158474423,0.00012779540945886476
From 6,0.000128598885028223,0.00012799538109916912,0.00013024801278366656,0.00012859688466323443,0.00012843656441464724,0.00012825788077661546,0.00012786137430291427,0.00012829794390669733,0.00012839403417375353,0.0001280851785205292
From 7,0.00012799884392401595,0.00012824682474882047,0.00012883672864221496,0.0001282284676227826,0.00012915487267619759,0.0001304969828352969,0.000128977611105192,0.00012872129990559167,0.0001286773120655733,0.00012886053689479038
From 8,0.00012847045586766387,0.00012957304491085145,0.0001297671543924432,0.0001283801109496183,0.00012746116535811773,0.00012860566846538367,0.00012791456456956918,0.0001279182935039357,0.00012791317519437683,0.00013188405514905356
From 9,0.00012780939420395084,0.00012878277874509662,0.0001305526377325993,0.00013164379557625193,0.00012934643289317255,0.00012890129247581977,0.00012885525777529998,0.0001296039538090283,0.00012949344016928993,0.0001399408835192996
